"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.104077990E-1,-3.370000124E-1,-4.100000113E-2,-2.409999967E-1
1.153699480E-1,2.680000067E-1,-2.669999897E-1,-1.029999971E0
1.203321780E-1,2.269999981E-1,-1.979999989E-1,-7.779999971E-1
1.252943320E-1,2.290000021E-1,-1.850000024E-1,-6.380000114E-1
1.302567030E-1,2.419999987E-1,-2.039999962E-1,-6.480000019E-1
1.352189340E-1,5.419999957E-1,-4.099999964E-1,-1.302999973E0
1.401810880E-1,5.889999866E-1,-3.980000019E-1,-1.320999980E0
1.451434910E-1,8.410000205E-1,-5.440000296E-1,-1.682000041E0
1.501054140E-1,8.579999804E-1,-5.970000029E-1,-1.618999958E0
1.550677950E-1,9.710000157E-1,-7.020000219E-1,-1.745000005E0
1.600300260E-1,9.580000043E-1,-7.549999952E-1,-1.715999961E0
1.649921800E-1,9.129999876E-1,-7.630000114E-1,-1.695999980E0
1.699545540E-1,5.830000043E-1,-4.860000014E-1,-1.116000056E0
1.749167850E-1,8.999999762E-1,-3.580000103E-1,-8.949999809E-1
1.798789390E-1,1.016000032E0,-7.080000043E-1,-6.290000081E-1
1.848410930E-1,1.442999959E0,-7.500000000E-1,-7.739999890E-1
1.898034770E-1,2.917000055E0,-9.350000024E-1,-1.589999944E-1
1.947657080E-1,3.249000072E0,-1.378999949E0,1.353000045E0
1.997278620E-1,3.463000059E0,-1.233000040E0,1.457000017E0
2.046900160E-1,3.413000107E0,-1.243999958E0,1.898000002E0
2.096521560E-1,3.374000072E0,-1.144999981E0,2.200000048E0
2.146145400E-1,3.210999966E0,-9.470000267E-1,2.786000013E0
2.195767710E-1,3.221999884E0,-7.369999886E-1,3.138999939E0
2.245389060E-1,3.378999949E0,-7.319999933E-1,3.026999950E0
2.295010600E-1,3.490000010E0,-7.990000248E-1,3.076999903E0
2.344635250E-1,3.417000055E0,-9.350000024E-1,3.030999899E0
2.394256790E-1,1.059000015E0,-8.849999905E-1,3.608000040E0
2.443878330E-1,1.319000006E0,-6.710000038E-1,3.365999937E0
2.493502250E-1,1.672000051E0,-3.389999866E-1,3.105999947E0
2.543123790E-1,1.904999971E0,-3.499999940E-1,3.111999989E0
2.592746090E-1,2.167000055E0,-5.569999814E-1,2.966000080E0
2.642370000E-1,2.278000116E0,-7.950000167E-1,2.842999935E0
2.691989230E-1,1.968000054E0,-1.215999961E0,2.545000076E0
2.741613010E-1,1.784999967E0,-1.615000010E0,2.305000067E0
2.791235310E-1,1.534000039E0,-2.022000074E0,2.174000025E0
2.840856850E-1,1.356999993E0,-2.503000021E0,1.990000010E0
2.890480680E-1,1.065000057E0,-2.733999968E0,1.985999942E0
2.940102220E-1,6.209999919E-1,-3.559999943E0,2.548000097E0
2.989723760E-1,9.899999946E-2,-3.891999960E0,3.990000010E0
3.039345960E-1,5.509999990E-1,-3.650000095E0,4.096000195E0
3.088969810E-1,1.077999949E0,-3.585999966E0,4.050000191E0
3.138591150E-1,1.376000047E0,-3.698999882E0,4.096000195E0
3.188213460E-1,1.386000037E0,-3.621999979E0,4.257999897E0
3.237837300E-1,1.394000053E0,-3.615000010E0,4.291999817E0
3.287458650E-1,1.475999951E0,-3.401999950E0,4.175000191E0
3.337080190E-1,1.891999960E0,-3.421999931E0,3.950000048E0
3.386702500E-1,2.321000099E0,-3.519000053E0,3.578999996E0
3.436323850E-1,2.760999918E0,-3.627000093E0,3.700999975E0
3.485947690E-1,2.901000023E0,-3.836999893E0,3.677000046E0
3.535569570E-1,3.190000057E0,-4.040999889E0,3.464999914E0
3.585191110E-1,3.344000101E0,-4.206999779E0,3.148999929E0
3.634812650E-1,3.663000107E0,-4.581999779E0,3.026999950E0
3.684436680E-1,3.823999882E0,-4.848000050E0,2.460999966E0
3.734058220E-1,3.839999914E0,-5.156000137E0,2.062999964E0
3.783680530E-1,4.013999939E0,-5.008999825E0,1.848000050E0
3.833304480E-1,4.348000050E0,-4.603000164E0,1.842000008E0
3.882926020E-1,4.561999798E0,-4.202000141E0,1.720000029E0
3.932548460E-1,4.604000092E0,-3.809999943E0,1.060999990E0
3.982170000E-1,4.111999989E0,-3.204999924E0,7.189999819E-1
4.031791540E-1,3.539000034E0,-2.556999922E0,3.089999855E-1
4.081415290E-1,2.786999941E0,-2.026000023E0,-1.299999952E-1
4.131036830E-1,2.233999968E0,-1.491999984E0,-8.029999733E-1
4.180658360E-1,1.879999995E0,-1.304000020E0,-1.386000037E0
4.230283130E-1,1.738000035E0,-1.273000002E0,-1.577999949E0
4.279904670E-1,1.616999984E0,-1.317000031E0,-1.218000054E0
4.329526160E-1,1.307999969E0,-1.394999981E0,-5.490000248E-1
4.379148460E-1,1.251999974E0,-1.713000059E0,1.809999943E-1
4.428770000E-1,1.106999993E0,-1.865000010E0,9.909999967E-1
4.478393850E-1,1.246000051E0,-2.108999968E0,1.677000046E0
4.528015390E-1,1.258999944E0,-2.039999962E0,2.266999960E0
4.577637700E-1,1.587000012E0,-1.968000054E0,2.434999943E0
4.627259230E-1,1.980000019E0,-2.154999971E0,2.398000002E0
4.676883080E-1,2.045000076E0,-2.232000113E0,2.687999964E0
4.726505340E-1,2.088000059E0,-2.367000103E0,3.289999962E0
4.776126880E-1,2.219000101E0,-2.710000038E0,3.688999891E0
4.825748420E-1,2.456000090E0,-3.223999977E0,4.008999825E0
4.875369950E-1,3.023000002E0,-3.907000065E0,4.334000111E0
4.924993800E-1,3.684999943E0,-4.297999859E0,4.065000057E0
4.974616110E-1,2.934999943E0,-3.957000017E0,1.472000003E0
5.024237650E-1,3.129999936E-1,-4.499000072E0,1.315000057E0
5.073859190E-1,-6.499999762E-2,-3.552000046E0,2.336999893E0
5.123483130E-1,4.839999974E-1,-3.773999929E0,4.364999771E0
5.173105440E-1,4.920000136E-1,-4.960000038E0,4.257999897E0
5.222726980E-1,-1.190000027E-1,-5.443999767E0,3.464999914E0
5.272350960E-1,-9.599999785E-1,-4.934000015E0,2.244999886E0
5.321972500E-1,-1.547000051E0,-4.395999908E0,1.098000050E0
5.371594040E-1,-1.416000009E0,-3.950999975E0,6.069999933E-1
5.421216350E-1,7.800000161E-2,-3.407000065E0,1.763000011E0
5.470837890E-1,2.023000002E0,-2.845000029E0,3.243999958E0
5.520461920E-1,3.025000095E0,-2.690999985E0,3.937999964E0
5.570084230E-1,3.520999908E0,-2.878000021E0,3.710000038E0
5.619705000E-1,3.198999882E0,-2.522000074E0,3.242000103E0
5.669327360E-1,2.650000095E0,-2.234999895E0,2.628000021E0
