"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
7.922138380E-1,6.501809850E1,2.556854330E1,2.482593841E1,NaN,NaN,7.290000153E1,1.132468796E1
3.480756231E0,6.501773333E1,2.556855667E1,-1.127395288E1,4.102336168E-1,1.924499969E2,7.400000095E0,6.750000000E1
4.797801539E0,6.501778500E1,2.556859667E1,4.626027163E0,2.110361122E-2,1.924499969E2,6.099999905E0,4.240000153E1
5.813689539E0,6.501780167E1,2.556858833E1,7.726023101E0,7.617888600E-2,1.924499969E2,5.300000191E0,2.970000076E1
6.807527077E0,6.501780333E1,2.556860000E1,8.526021296E0,1.389749944E-1,1.924499969E2,4.199999809E0,1.519999981E1
7.805217462E0,6.501749833E1,2.556868833E1,7.626102790E0,1.111800000E-1,1.924499969E2,2.900000095E0,4.000000000E0
8.798127923E0,6.501749667E1,2.556869667E1,8.926102354E0,2.676555514E-2,1.924499969E2,2.599999905E0,3.900000095E0
9.809353847E0,6.501749167E1,2.556869167E1,8.826104413E0,3.700852692E-1,1.557200012E2,2.500000000E0,3.900000095E0
1.079553377E1,6.501748333E1,2.556870000E1,8.826105975E0,7.154639065E-2,1.557200012E2,2.500000000E0,4.000000000E0
1.179500523E1,6.501747667E1,2.556870500E1,8.626107412E0,2.336838841E-1,1.557200012E2,2.400000095E0,4.000000000E0
1.279375162E1,6.501747500E1,2.556868000E1,8.226110715E0,1.791233271E-1,1.557200012E2,2.400000095E0,3.900000095E0
1.380229746E1,6.501746833E1,2.556866833E1,7.226114021E0,3.551583290E-1,2.917000008E1,2.200000048E0,3.799999952E0
1.481214700E1,6.501746833E1,2.556864667E1,5.526116451E0,3.603055477E-1,1.993000031E1,2.099999905E0,3.700000048E0
1.580965569E1,6.501746500E1,2.556863000E1,3.426119319E0,4.431758225E-1,3.324400024E2,2.000000000E0,3.700000048E0
1.631305162E1,6.501746333E1,2.556861833E1,2.426121127E0,3.639086187E-1,3.412900085E2,2.000000000E0,3.700000048E0
1.680741623E1,6.501746167E1,2.556861000E1,1.226122562E0,3.114069402E-1,3.366099854E2,1.899999976E0,3.700000048E0
1.729640677E1,6.501746000E1,2.556860167E1,6.261239958E-1,1.271363944E-1,3.062999878E2,1.899999976E0,3.700000048E0
1.880380177E1,6.501745833E1,2.556859333E1,5.261254300E-1,1.209597215E-1,1.212500000E2,1.899999976E0,3.799999952E0
1.980745262E1,6.501745833E1,2.556858833E1,7.261259909E-1,1.014002785E-1,5.100999832E1,1.799999952E0,3.700000048E0
2.082107254E1,6.501745833E1,2.556858333E1,8.261265517E-1,1.240480542E-1,2.140000000E2,1.799999952E0,3.700000048E0
2.181099631E1,6.501745667E1,2.556857167E1,9.261283599E-1,1.127241701E-1,5.850000000E1,1.799999952E0,3.700000048E0
2.281406523E1,6.501745667E1,2.556857167E1,8.261283599E-1,2.141244411E-1,3.395299988E2,1.799999952E0,3.700000048E0
2.379262831E1,6.501745667E1,2.556857333E1,1.226128173E0,1.986827850E-1,1.294499969E2,1.700000048E0,3.700000048E0
2.480793631E1,6.501745667E1,2.556857667E1,1.426127799E0,1.837558299E-1,3.521700134E2,1.700000048E0,3.700000048E0
2.580799685E1,6.501746000E1,2.556857500E1,1.126126987E0,2.156686038E-1,3.570899963E2,1.700000048E0,3.700000048E0
2.680810092E1,6.501746833E1,2.556857333E1,1.026124677E0,3.067744374E-1,3.480000000E2,1.799999952E0,3.700000048E0
2.781430185E1,6.501748333E1,2.556856667E1,8.261209289E-1,4.153808355E-1,3.491600037E2,1.799999952E0,3.799999952E0
2.881391562E1,6.501749833E1,2.556856833E1,7.261162466E-1,5.142074823E-1,3.500599976E2,1.899999976E0,3.799999952E0
2.981111262E1,6.501751333E1,2.556857167E1,6.261113774E-1,6.403144598E-1,3.523500061E2,1.899999976E0,3.799999952E0
3.081553939E1,6.501752500E1,2.556856667E1,5.261084416E-1,7.309055328E-1,3.501199951E2,2.000000000E0,3.799999952E0
3.180685046E1,6.501753833E1,2.556856500E1,2.261046325E-1,8.261291385E-1,3.456400146E2,2.000000000E0,3.799999952E0
3.281389100E1,6.501755167E1,2.556856000E1,2.261011971E-1,9.228969216E-1,3.566199951E2,2.000000000E0,3.799999952E0
3.381478493E1,6.501756500E1,2.556856333E1,2.260968274E-1,1.020694137E0,3.559700012E2,2.000000000E0,3.799999952E0
3.480000639E1,6.501757333E1,2.556856333E1,-7.390567004E-2,1.106138110E0,3.495899963E2,2.000000000E0,3.799999952E0
3.579935908E1,6.501758167E1,2.556855500E1,-2.739072336E-1,1.143712759E0,3.541000061E2,2.000000000E0,3.799999952E0
3.679640362E1,6.501759000E1,2.556855667E1,-3.739099179E-1,1.157095551E0,3.505599976E2,2.000000000E0,3.799999952E0
3.780325046E1,6.501760167E1,2.556855333E1,-5.739130409E-1,1.164301634E0,3.538999939E2,2.099999905E0,3.799999952E0
3.879902023E1,6.501760167E1,2.556856000E1,-1.173913788E0,1.164301634E0,6.440000057E0,2.000000000E0,3.799999952E0
3.980515016E1,6.501760833E1,2.556856500E1,-1.073916346E0,1.124153376E0,3.499500122E2,2.000000000E0,3.799999952E0
4.080578185E1,6.501761500E1,2.556857167E1,-1.273919091E0,1.120035529E0,3.535400085E2,2.000000000E0,3.799999952E0
4.179379785E1,6.501762667E1,2.556856833E1,-7.739222141E-1,1.118491411E0,3.500100098E2,2.000000000E0,3.799999952E0
4.280583816E1,6.501763833E1,2.556856667E1,-3.739255238E-1,1.113344193E0,3.506600037E2,2.000000000E0,3.900000095E0
4.381962523E1,6.501765167E1,2.556856167E1,-7.392895967E-2,1.128271103E0,3.587000122E2,2.000000000E0,3.900000095E0
